Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,George Baldock,eng ENG,DF,Sheffield Utd,26,1993,38,2,13,5,38.5,0.34,0.13,0.15,0.4,16.9,0,0,0,0.9,0.9,0.07,1.1,1.1
2,Conor Coady,eng ENG,DF,Wolves,26,1993,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
3,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,5,30,14,46.7,0.79,0.37,0.17,0.36,11.3,0,0,0,2.9,2.9,0.1,2.1,2.1
4,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
5,Ben Foster,eng ENG,GK,Watford,36,1983,38,0,1,1,100,0.03,0.03,0,0,9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
6,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
7,Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,38,1,32,8,25,0.84,0.21,0.03,0.13,11.7,0,0,0,2,2,0.06,-1,-1
8,Rui Patrício,pt POR,GK,Wolves,31,1988,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,Jordan Pickford,eng ENG,GK,Everton,25,1994,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
10,Nick Pope,eng ENG,GK,Burnley,27,1992,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
11,Declan Rice,eng ENG,MF,West Ham,20,1999,38,1,30,9,30,0.79,0.24,0.03,0.11,22.6,0,0,0,1.1,1.1,0.04,-0.1,-0.1
12,Mathew Ryan,au AUS,GK,Brighton,27,1992,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,0,1,0,0,0.03,0,0,,59,1,0,0,0,0,0.04,0,0
14,James Tarkowski,eng ENG,DF,Burnley,26,1992,38,2,20,4,20,0.53,0.11,0.1,0.5,8.2,0,0,0,2.4,2.4,0.12,-0.4,-0.4
15,James Ward-Prowse,eng ENG,"MF,DF",Southampton,24,1994,38,5,54,23,42.6,1.42,0.61,0.07,0.17,23.1,24,1,3,7.1,4.6,0.09,-2.1,-0.6
16,Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,1,24,10,41.7,0.64,0.27,0.04,0.1,7.7,0,0,0,2.6,2.6,0.11,-1.6,-1.6
17,Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,2,22,4,18.2,0.59,0.11,0.09,0.5,18.3,0,0,0,1.2,1.2,0.05,0.8,0.8
18,Dwight McNeil,eng ENG,MF,Burnley,19,1999,37.1,2,48,14,29.2,1.29,0.38,0.04,0.14,23.5,10,0,0,2.1,2.1,0.04,-0.1,-0.1
19,Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
20,Wilfried Zaha,ci CIV,"MF,FW",Crystal Palace,26,1992,36.4,4,61,17,27.9,1.67,0.47,0.07,0.24,15.8,0,0,0,5.3,5.3,0.09,-1.3,-1.3
21,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,0,14,4,28.6,0.39,0.11,0,0,17.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5
22,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36,0,6,0,0,0.17,0,0,,12.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
23,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,0,1,0,0,0.03,0,0,,7.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
24,Raúl Jiménez,mx MEX,FW,Wolves,28,1991,36,17,114,39,34.2,3.17,1.08,0.11,0.33,15.1,0,4,4,14.7,11.7,0.1,2.3,1.3
25,Tim Krul,nl NED,GK,Norwich City,31,1988,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
26,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,13.2,0,0,0,2.7,2.7,0.09,-0.7,-0.7
27,Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,3,30,10,33.3,0.84,0.28,0.1,0.3,11,5,0,0,4,4,0.13,-1,-1
28,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,35.9,8,72,22,30.6,2,0.61,0.11,0.36,18,1,0,1,6.5,5.7,0.08,1.5,2.3
29,John Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,2,28,5,17.9,0.79,0.14,0.07,0.4,8.8,0,0,0,2.3,2.3,0.08,-0.3,-0.3
30,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,12,0,0,2.8,2.8,0.06,1.2,1.2
31,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,35.1,4,62,12,19.4,1.77,0.34,0.06,0.33,16.7,0,0,0,5.3,5.3,0.09,-1.3,-1.3
32,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,35,9,56,24,42.9,1.6,0.69,0.16,0.38,14.7,0,0,0,6.5,6.5,0.12,2.5,2.5
33,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
34,Ashley Westwood,eng ENG,MF,Burnley,29,1990,35,2,13,3,23.1,0.37,0.09,0.15,0.67,19.3,2,0,0,1.2,1.2,0.09,0.8,0.8
35,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,22,90,40,44.4,2.58,1.15,0.22,0.5,15.3,2,2,2,15.8,14.3,0.16,6.2,5.7
36,Andrew Robertson,sct SCO,DF,Liverpool,25,1994,34.6,2,20,6,30,0.58,0.17,0.1,0.33,17.7,0,0,0,1.6,1.6,0.08,0.4,0.4
37,João Moutinho,pt POR,MF,Wolves,32,1986,34.5,1,22,6,27.3,0.64,0.17,0.05,0.17,23.7,4,0,0,0.8,0.8,0.04,0.2,0.2
38,Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,34.4,1,6,1,16.7,0.17,0.03,0.17,1,10.8,0,0,0,0.4,0.4,0.07,0.6,0.6
39,James McArthur,sct SCO,MF,Crystal Palace,31,1987,34.3,0,29,6,20.7,0.84,0.17,0,0,17.9,0,0,0,2.5,2.5,0.08,-2.5,-2.5
40,Oliver Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,1,16,5,31.3,0.47,0.15,0,0,27.2,4,1,1,1.4,0.7,0.04,-0.4,-0.7
41,Ederson,br BRA,GK,Manchester City,25,1993,34.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,Richarlison,br BRA,FW,Everton,22,1997,34.1,13,91,31,34.1,2.67,0.91,0.14,0.42,14,0,0,0,9.1,9.1,0.1,3.9,3.9
43,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,0,9,1,11.1,0.26,0.03,0,0,17.3,0,0,0,0.9,0.9,0.1,-0.9,-0.9
44,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,1,7,1,14.3,0.21,0.03,0.14,1,7.4,0,0,0,0.8,0.8,0.12,0.2,0.2
45,Rúben Neves,pt POR,MF,Wolves,22,1997,34,2,62,10,16.1,1.83,0.29,0.03,0.2,27,7,0,0,1.6,1.6,0.03,0.4,0.4
46,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,0,29,5,17.2,0.86,0.15,0,0,24.3,13,0,0,1.4,1.4,0.05,-1.4,-1.4
47,Ça?lar Söyüncü,tr TUR,DF,Leicester City,23,1996,33.7,1,20,7,35,0.59,0.21,0.05,0.14,9,0,0,0,2.3,2.3,0.11,-1.3,-1.3
48,Jamie Vardy,eng ENG,FW,Leicester City,32,1987,33.7,23,87,38,43.7,2.58,1.13,0.22,0.5,12.4,0,4,5,20.3,16.5,0.2,2.7,2.5
